TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47
CSDEP;CSDIR;CTCN;CTCNIA;NCCO;TYCNGR;CTCNGR;COARCL;CTADR0;NIAF;NIAFBT;MNBSCO;MOBSSY;MNBSGP;MNBSTS;MNBSGE;MNBSIF;MNBSCI;MNBSCM;MOCNCT;MOCNCS;MOCNCG;MOCNCE;MOCUGE;MORGIF;MNCHCI;MOCHCM;NBCHDF;CICUZ;BX001D;MCTP13;MOCNLT;MOCNLS;MOCNLG;MOCNLE;MOCULE;MORGLF;MNCHLI;MOCHLM;FILLER;BX001A
Code departement;Numero de direction sur 1c;CODE COMMUNE DE L'AFT;ancien code cne en presence d ifp;numero de compte fichier coll CFE;type EPCI;code EPCI;type article sur 2 caracteres;code voie du lieu d'imposition;NUMERO IMMEUBLE DE L'AFT;indice repetition b/t/q cfe type 1;base taxable commune n;base taxable syndicats;base taxable EPCI;base taxable tse n;base taxable tgemapi;base taxe annuelle ile de france;base taxable tcci;base taxable tcm;cotisation cfe commune;cotisation cfe syndicat;cotisation cfe epci;cotis. tse hors TGEMAPI et TASARIF;cotisation TGEMAPI;cotisation TASARIF;cotisation tcci;cotisation droit additionnel TCMA;nb cotisation tcma droit fixe;code EPCI avec zone (zae ou zde);ZONE BANALISEE 1 CARACTERE X;frais assiette commune et epci;cotisation cfe commune lissee;cotisation cfe syndicat lissee;cotisation cfe epci lissee;cot. tse hors TGEMAPI,TASARIF lissee;cotisation TGEMAPI lissee;cotisation TASARIF lissee;cotisation tcci lissee;cotis. droit additionnel TCMA lissee;;ZONE BANALISEE 1 CARACTERE X
16;0;388;   ;0;L;500;A4;    ;    ; ;0;0;41179;41179;41179;0;30398;11960;0;0;10593;281;57;0;432;435;5;H; ;314;0;0;10581;281;57;0;424;447;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;415;   ;0;L;500;A4;    ;    ; ;0;0;36734;36734;36734;0;14678;13101;0;0;9454;243;55;0;210;480;10;H; ;274;0;0;9458;243;55;0;206;480;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;418;   ;0;L;500;A4;    ;    ; ;0;0;195210;195210;195210;0;153276;28611;0;0;50209;1324;264;0;2175;1041;14;H; ;1496;0;0;50185;1324;264;0;2175;1041;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;420;   ;0;L;500;A4;    ;    ; ;0;0;11034;11034;11034;0;6189;4020;0;0;2838;77;16;0;89;146;3;H; ;83;0;0;2838;77;16;0;89;146;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;422;   ;0;L;500;A4;    ;    ; ;0;0;28616;28616;28616;0;9888;9376;0;0;7358;192;38;0;141;341;4;H; ;220;0;0;7366;192;38;0;141;341;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;012;   ;0;L;600;A4;    ;    ; ;0;0;354600;354600;354600;0;294154;109594;0;0;86169;2397;651;0;4179;3988;9;H; ;2595;0;0;86193;2401;651;0;4187;3988;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;013;   ;0;L;600;A4;    ;    ; ;0;0;47505;47505;47505;0;38167;2640;0;0;11145;324;84;0;541;96;2;H; ;334;0;0;11161;324;84;0;545;96;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;018;   ;0;L;600;A4;    ;    ; ;0;0;133985;133985;133985;0;97950;29255;0;0;33260;905;249;0;1388;1065;10;H; ;991;0;0;33252;901;249;0;1376;1073;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;032;   ;0;L;600;A4;    ;    ; ;0;0;42925;42925;42925;0;25153;21923;0;0;10285;290;78;0;356;799;12;H; ;317;0;0;10597;294;78;0;396;815;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;045;   ;0;L;600;A4;    ;    ; ;0;0;31349;31349;31349;0;27966;1701;0;0;7634;212;58;0;396;62;1;H; ;230;0;0;7634;212;58;0;396;62;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;050;   ;0;L;600;A4;    ;    ; ;0;0;11272;11272;11272;0;4460;6720;0;0;2778;76;21;0;63;244;5;H; ;85;0;0;2822;76;21;0;67;252;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;056;   ;0;L;600;A4;    ;    ; ;0;0;377554;377554;377554;0;322147;72177;0;0;90496;2552;695;0;4574;2628;12;H; ;2717;0;0;90504;2548;695;0;4542;2700;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;057;   ;0;L;600;A4;    ;    ; ;0;0;19692;19692;19692;0;4236;9915;0;0;4825;136;37;0;60;363;8;H; ;145;0;0;4825;136;37;0;60;363;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;058;   ;0;L;600;A4;    ;    ; ;0;0;108745;108745;108745;0;73715;29119;0;0;26989;735;206;0;1046;1059;10;H; ;800;0;0;26829;731;206;0;1030;1051;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;060;   ;0;L;600;A4;    ;    ; ;0;0;34600;34600;34600;0;21523;14727;0;0;8590;232;67;0;305;535;8;H; ;259;0;0;8714;236;67;0;317;535;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;077;   ;0;L;600;A4;    ;    ; ;0;0;19781;19781;19781;0;9235;8296;0;0;4815;135;37;0;132;303;7;H; ;144;0;0;4815;135;37;0;132;303;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;088;   ;0;L;600;A4;    ;    ; ;0;0;59271;59271;59271;0;34575;25707;0;0;14204;402;109;0;489;936;13;H; ;422;0;0;14112;402;109;0;485;916;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;089;   ;0;L;600;A4;    ;    ; ;0;0;5398971;5398971;5398971;0;4934325;389410;0;0;1340042;36480;9963;0;70059;14168;72;H; ;39903;0;0;1331416;36292;9963;0;69028;13856;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;090;   ;0;L;600;A4;    ;    ; ;0;0;939666;939666;939666;0;693990;264170;0;0;226831;6367;1725;0;9850;9622;47;H; ;6853;0;0;228899;6399;1725;0;9955;9638;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;097;   ;0;L;600;A4;    ;    ; ;0;0;3274102;3274102;3274102;0;3067265;280006;0;0;812644;22129;6034;0;43553;10189;25;H; ;24355;0;0;812352;22117;6034;0;43465;10269;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;102;   ;0;L;600;A4;    ;    ; ;0;0;8881422;8881422;8881422;0;7368125;1044468;0;0;2204413;60006;16479;0;104613;37998;321;H; ;66092;0;0;2206513;59978;16479;0;104289;38166;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
